iter	Passed	Remaining
0	176	8660
1	190	4578
2	203	3185
3	215	2479
4	226	2036
5	236	1730
6	246	1515
7	258	1359
8	268	1224
9	279	1116
10	288	1022
11	297	942
12	307	876
13	317	815
14	326	762
15	336	714
16	345	671
17	355	631
18	365	595
19	374	561
20	383	528
21	392	500
22	402	472
23	412	446
24	421	421
25	431	398
26	441	376
27	453	356
28	463	335
29	474	316
30	484	296
31	493	277
32	502	259
33	512	241
34	522	223
35	536	208
36	545	191
37	553	174
38	565	159
39	575	143
40	584	128
41	592	112
42	601	97
43	609	83
44	619	68
45	628	54
46	638	40
47	646	26
48	655	13
49	664	0
